u,v,score
35,186,0.08142816
35,123,0.08142816
35,66,0.08142816
35,70,0.08142816
35,121,0.08142816
35,119,0.08142816
35,117,0.08142816
41,43,0.08142816
35,64,0.08142816
35,62,0.08142816
35,61,0.08142816
41,95,0.08142816
41,93,0.08142816
41,87,0.08142816
41,86,0.08142816
41,80,0.08142816
41,78,0.08142816
41,72,0.08142816
41,70,0.08142816
41,66,0.08142816
41,64,0.08142816
41,62,0.08142816
41,61,0.08142816
41,48,0.08142816
41,46,0.08142816
41,45,0.08142816
43,72,0.08142816
43,70,0.08142816
43,66,0.08142816
43,64,0.08142816
43,62,0.08142816
43,61,0.08142816
43,48,0.08142816
43,46,0.08142816
43,45,0.08142816
41,186,0.08142816
41,123,0.08142816
41,121,0.08142816
41,119,0.08142816
41,117,0.08142816
41,105,0.08142816
43,186,0.08142816
43,123,0.08142816
43,121,0.08142816
43,119,0.08142816
43,117,0.08142816
43,105,0.08142816
43,95,0.08142816
43,93,0.08142816
43,87,0.08142816
43,86,0.08142816
43,80,0.08142816
43,78,0.08142816
45,80,0.08142816
45,78,0.08142816
45,72,0.08142816
45,70,0.08142816
45,66,0.08142816
45,64,0.08142816
45,62,0.08142816
45,61,0.08142816
45,48,0.08142816
45,46,0.08142816
46,64,0.08142816
46,62,0.08142816
46,61,0.08142816
46,48,0.08142816
45,186,0.08142816
45,123,0.08142816
45,121,0.08142816
45,119,0.08142816
45,117,0.08142816
45,105,0.08142816
45,95,0.08142816
45,93,0.08142816
45,87,0.08142816
45,86,0.08142816
46,121,0.08142816
46,119,0.08142816
46,117,0.08142816
46,105,0.08142816
46,95,0.08142816
46,93,0.08142816
46,87,0.08142816
46,86,0.08142816
46,80,0.08142816
46,78,0.08142816
46,72,0.08142816
46,70,0.08142816
46,66,0.08142816
48,105,0.08142816
48,95,0.08142816
48,93,0.08142816
48,87,0.08142816
48,86,0.08142816
48,80,0.08142816
48,78,0.08142816
48,72,0.08142816
48,70,0.08142816
48,66,0.08142816
48,64,0.08142816
48,62,0.08142816
48,61,0.08142816
46,186,0.08142816
46,123,0.08142816
48,186,0.08142816
48,123,0.08142816
48,121,0.08142816
48,119,0.08142816
48,117,0.08142816
28,186,0.08142816
28,123,0.08142816
28,121,0.08142816
28,119,0.08142816
28,117,0.08142816
28,105,0.08142816
28,95,0.08142816
28,93,0.08142816
28,87,0.08142816
28,86,0.08142816
28,80,0.08142816
28,78,0.08142816
28,72,0.08142816
28,70,0.08142816
28,66,0.08142816
28,64,0.08142816
28,62,0.08142816
28,61,0.08142816
28,48,0.08142816
28,46,0.08142816
28,45,0.08142816
28,43,0.08142816
28,41,0.08142816
28,35,0.08142816
27,186,0.08142816
27,117,0.08142816
27,105,0.08142816
27,123,0.08142816
27,121,0.08142816
27,119,0.08142816
27,95,0.08142816
27,93,0.08142816
27,87,0.08142816
27,86,0.08142816
27,80,0.08142816
27,78,0.08142816
27,72,0.08142816
27,70,0.08142816
27,66,0.08142816
27,61,0.08142816
27,64,0.08142816
27,62,0.08142816
1,23,0.08142816
1,21,0.08142816
1,13,0.08142816
1,11,0.08142816
27,48,0.08142816
27,46,0.08142816
27,45,0.08142816
27,43,0.08142816
27,41,0.08142816
61,105,0.08142816
61,95,0.08142816
61,93,0.08142816
61,86,0.08142816
61,80,0.08142816
61,78,0.08142816
61,72,0.08142816
61,70,0.08142816
61,66,0.08142816
61,64,0.08142816
62,95,0.08142816
62,93,0.08142816
62,87,0.08142816
62,86,0.08142816
1,35,0.08142816
1,28,0.08142816
62,80,0.08142816
62,78,0.08142816
62,72,0.08142816
62,70,0.08142816
62,66,0.08142816
62,64,0.08142816
61,186,0.08142816
61,123,0.08142816
61,121,0.08142816
61,119,0.08142816
61,117,0.08142816
64,80,0.08142816
64,78,0.08142816
64,72,0.08142816
64,70,0.08142816
64,66,0.08142816
62,186,0.08142816
62,123,0.08142816
62,121,0.08142816
62,119,0.08142816
62,117,0.08142816
62,105,0.08142816
66,80,0.08142816
